family,total_obs
"Accipitridae (Hawks, Eagles, and Kites)",11031075
Acrocephalidae (Reed Warblers and Allies),63
Aegithalidae (Long-tailed Tits),688086
Alaudidae (Larks),571639
Alcedinidae (Kingfishers),1931090
"Alcidae (Auks, Murres, and Puffins)",550232
"Anatidae (Ducks, Geese, and Waterfowl)",29961392
Anhingidae (Anhingas),396928
Anseranatidae (Magpie Goose),3
Apodidae (Swifts),1383091
Apterygidae (Kiwis),2
Aramidae (Limpkin),94581
"Ardeidae (Herons, Egrets, and Bitterns)",10798340
Bombycillidae (Waxwings),1868821
Bucerotidae (Hornbills),3
Burhinidae (Thick-knees),1
Cacatuidae (Cockatoos),533
Calcariidae (Longspurs and Snow Buntings),201960
Caprimulgidae (Nightjars and Allies),438408
Cardinalidae (Cardinals and Allies),11340930
Casuariidae (Cassowaries and Emu),17
Cathartidae (New World Vultures),5627386
Certhiidae (Treecreepers),672314
Charadriidae (Plovers and Lapwings),3926280
Ciconiidae (Storks),202246
Cinclidae (Dippers),55762
Columbidae (Pigeons and Doves),12526089
Coraciidae (Rollers),3
"Corvidae (Crows, Jays, and Magpies)",18594100
Cotingidae (Cotingas),1
"Cracidae (Guans, Chachalacas, and Curassows)",49730
Cuculidae (Cuckoos),645958
Diomedeidae (Albatrosses),41602
Emberizidae (Old World Buntings),1317
Estrildidae (Waxbills and Allies),93126
Eurypygidae (Sunbittern),1
Falconidae (Falcons and Caracaras),2577986
Fregatidae (Frigatebirds),60148
"Fringillidae (Finches, Euphonias, and Allies)",12883350
Gaviidae (Loons),1057366
Gruidae (Cranes),646291
Haematopodidae (Oystercatchers),280213
Hirundinidae (Swallows),7751204
Hydrobatidae (Northern Storm-Petrels),69366
Icteridae (Troupials and Allies),16486418
Icteriidae (Yellow-breasted Chat),261437
Irenidae (Fairy-bluebirds),1
Jacanidae (Jacanas),1182
Laniidae (Shrikes),605007
"Laridae (Gulls, Terns, and Skimmers)",11463825
Leiothrichidae (Laughingthrushes and Allies),13124
Locustellidae (Grassbirds and Allies),8
Lybiidae (African Barbets),1
Maluridae (Fairywrens),1
Megapodiidae (Megapodes),2
Meliphagidae (Honeyeaters),3
Mimidae (Mockingbirds and Thrashers),7426393
Momotidae (Motmots),1
Monarchidae (Monarch Flycatchers),9370
Motacillidae (Wagtails and Pipits),373416
Muscicapidae (Old World Flycatchers),14983
Musophagidae (Turacos),2
Numididae (Guineafowl),480
Oceanitidae (Southern Storm-Petrels),31367
Odontophoridae (New World Quail),812426
Pandionidae (Osprey),1680715
"Paradoxornithidae (Parrotbills, Wrentit, and Allies)",239719
"Paridae (Tits, Chickadees, and Titmice)",11521552
Parulidae (New World Warblers),18648089
Passerellidae (New World Sparrows),25519503
Passeridae (Old World Sparrows),3914549
Pelecanidae (Pelicans),1360579
Peucedramidae (Olive Warbler),9623
Phaethontidae (Tropicbirds),11105
Phalacrocoracidae (Cormorants and Shags),3504311
"Phasianidae (Pheasants, Grouse, and Allies)",1238472
Phoenicopteridae (Flamingos),1548
Phoeniculidae (Woodhoopoes and Scimitarbills),1
Phylloscopidae (Leaf Warblers),3094
Picidae (Woodpeckers),18601367
Ploceidae (Weavers and Allies),7147
Podicipedidae (Grebes),3012564
Polioptilidae (Gnatcatchers),1675700
Procellariidae (Shearwaters and Petrels),350436
Prunellidae (Accentors),158
Psittacidae (New World and African Parrots),174384
Psittaculidae (Old World Parrots),18490
Pteroclidae (Sandgrouse),470
Ptiliogonatidae (Silky-flycatchers),176756
Ptilonorhynchidae (Bowerbirds),3
Pycnonotidae (Bulbuls),28125
"Rallidae (Rails, Gallinules, and Coots)",3087157
Ramphastidae (Toucans),9
Recurvirostridae (Stilts and Avocets),789541
Regulidae (Kinglets),2704142
Remizidae (Penduline-Tits),295208
Scolopacidae (Sandpipers and Allies),8183333
Scotocercidae (Bush Warblers and Allies),3768
Sittidae (Nuthatches),5112078
Spheniscidae (Penguins),2
Spindalidae (Spindalises),884
Stercorariidae (Skuas and Jaegers),120467
Strigidae (Owls),1236063
Struthionidae (Ostriches),12
Sturnidae (Starlings),5345122
Sulidae (Boobies and Gannets),175584
Thraupidae (Tanagers and Allies),43159
Threskiornithidae (Ibises and Spoonbills),1292290
Tityridae (Tityras and Allies),2131
Trochilidae (Hummingbirds),3584218
Troglodytidae (Wrens),7394667
Trogonidae (Trogons),10022
Turdidae (Thrushes and Allies),12461726
Turnicidae (Buttonquail),1
Tyrannidae (Tyrant Flycatchers),9978572
Tytonidae (Barn-Owls),78920
Viduidae (Indigobirds),5964
"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",4059426
"Zosteropidae (White-eyes, Yuhinas, and Allies)",45074
