SCIENTIFIC_NAME,species,species
Anser indicus x Branta canadensis,Anser indicus,Branta canadensis
Poecile atricapillus x hudsonicus,Poecile atricapillus,Poecile hudsonicus
Archilochus alexandri x Cynanthus latirostris,Archilochus alexandri,Cynanthus latirostris
Cynanthus latirostris x Amazilia violiceps,Cynanthus latirostris,Amazilia violiceps
Aythya valisineria x collaris,Aythya valisineria,Aythya collaris
Spizella pallida x pusilla,Spizella pallida,Spizella pusilla
Acanthis flammea x hornemanni,Acanthis flammea,Acanthis hornemanni
Uria aalge x lomvia,Uria aalge,Uria lomvia
Dendragapus obscurus x Tympanuchus phasianell,Dendragapus obscurus,Tympanuchus phasianell
Calidris tenuirostris x virgata,Calidris tenuirostris,Calidris virgata
Lophodytes cucullatus x Mergus merganser,Lophodytes cucullatus,Mergus merganser
Phoebastria immutabilis x nigripes,Phoebastria immutabilis,Phoebastria nigripes
Spinus psaltria x tristis,Spinus psaltria,Spinus tristis
Egretta garzetta x gularis,Egretta garzetta,Egretta gularis
Calothorax lucifer x Calypte anna,Calothorax lucifer,Calypte anna
Setophaga magnolia x coronata,Setophaga magnolia,Setophaga coronata
Stelgidopteryx serripennis x Tachycineta thal,Stelgidopteryx serripennis,Tachycineta thal
Spatula clypeata x Mareca americana,Spatula clypeata,Mareca americana
Colaptes auratus x chrysoides,Colaptes auratus,Colaptes chrysoides
Spinus pinus x tristis,Spinus pinus,Spinus tristis
Loxia curvirostra x Spinus pinus,Loxia curvirostra,Spinus pinus
Buteo jamaicensis x regalis,Buteo jamaicensis,Buteo regalis
Aythya americana x marila,Aythya americana,Aythya marila
Archilochus colubris x alexandri,Archilochus colubris,Archilochus alexandri
Larus schistisagus x hyperboreus,Larus schistisagus,Larus hyperboreus
Cyanocitta stelleri x cristata,Cyanocitta stelleri,Cyanocitta cristata
Tachycineta bicolor x Hirundo rustica,Tachycineta bicolor,Hirundo rustica
Tachycineta bicolor x thalassina,Tachycineta bicolor,Tachycineta thalassina
Tachycineta thalassina x Petrochelidon pyrrho,Tachycineta thalassina,Petrochelidon pyrrho
Vireo gilvus x olivaceus,Vireo gilvus,Vireo olivaceus
Megascops kennicottii x asio,Megascops kennicottii,Megascops asio
Zonotrichia leucophrys x querula,Zonotrichia leucophrys,Zonotrichia querula
Aix sponsa x galericulata,Aix sponsa,Aix galericulata
Setophaga castanea x striata,Setophaga castanea,Setophaga striata
Melozone fusca x aberti,Melozone fusca,Melozone aberti
Spizella passerina x pallida,Spizella passerina,Spizella pallida
Buteogallus anthracinus x Buteo lineatus,Buteogallus anthracinus,Buteo lineatus
Sialia sialis x currucoides,Sialia sialis,Sialia currucoides
Egretta garzetta x thula,Egretta garzetta,Egretta thula
Geothlypis tolmiei x trichas,Geothlypis tolmiei,Geothlypis trichas
Anas platyrhynchos x Netta rufina,Anas platyrhynchos,Netta rufina
Geothlypis philadelphia x trichas,Geothlypis philadelphia,Geothlypis trichas
Falco peregrinus x mexicanus,Falco peregrinus,Falco mexicanus
Lanius collurio x phoenicuroides,Lanius collurio,Lanius phoenicuroides
Melanitta perspicillata x deglandi,Melanitta perspicillata,Melanitta deglandi
Aythya fuligula x marila,Aythya fuligula,Aythya marila
Setophaga coronata x dominica,Setophaga coronata,Setophaga dominica
Archilochus alexandri x Calypte anna,Archilochus alexandri,Calypte anna
Bucephala albeola x clangula/islandica,Bucephala albeola,Bucephala clangula/islandica
Myioborus pictus x miniatus,Myioborus pictus,Myioborus miniatus
Amazona viridigenalis x autumnalis,Amazona viridigenalis,Amazona autumnalis
Sturnella neglecta x magna,Sturnella neglecta,Sturnella magna
Setophaga coronata x nigrescens,Setophaga coronata,Setophaga nigrescens
Spizella pallida x breweri,Spizella pallida,Spizella breweri
Setophaga citrina x petechia,Setophaga citrina,Setophaga petechia
Passer domesticus x montanus,Passer domesticus,Passer montanus
Anas diazi x fulvigula,Anas diazi,Anas fulvigula
Colinus virginianus x Callipepla squamata,Colinus virginianus,Callipepla squamata
Antigone canadensis x Grus grus,Antigone canadensis,Grus grus
Sialia mexicana x currucoides,Sialia mexicana,Sialia currucoides
Archilochus alexandri x Selasphorus calliope,Archilochus alexandri,Selasphorus calliope
Branta bernicla x hutchinsii,Branta bernicla,Branta hutchinsii
Larus californicus x argentatus,Larus californicus,Larus argentatus
Petrochelidon pyrrhonota x fulva,Petrochelidon pyrrhonota,Petrochelidon fulva
Streptopelia decaocto x roseogrisea,Streptopelia decaocto,Streptopelia roseogrisea
Zonotrichia atricapilla x albicollis,Zonotrichia atricapilla,Zonotrichia albicollis
Selasphorus rufus x calliope,Selasphorus rufus,Selasphorus calliope
Aythya fuligula x affinis,Aythya fuligula,Aythya affinis
Brotogeris versicolurus x chiriri,Brotogeris versicolurus,Brotogeris chiriri
Dendrocygna autumnalis x bicolor,Dendrocygna autumnalis,Dendrocygna bicolor
Nycticorax nycticorax x Nyctanassa violacea,Nycticorax nycticorax,Nyctanassa violacea
Buteo jamaicensis x lagopus,Buteo jamaicensis,Buteo lagopus
Aythya collaris x marila,Aythya collaris,Aythya marila
Aythya collaris x fuligula,Aythya collaris,Aythya fuligula
Tyrannus verticalis x tyrannus,Tyrannus verticalis,Tyrannus tyrannus
Contopus sordidulus x virens,Contopus sordidulus,Contopus virens
Zonotrichia leucophrys x albicollis,Zonotrichia leucophrys,Zonotrichia albicollis
Bucephala albeola x Lophodytes cucullatus,Bucephala albeola,Lophodytes cucullatus
Mareca americana x Anas crecca,Mareca americana,Anas crecca
Mareca americana x Anas acuta,Mareca americana,Anas acuta
Dryobates pubescens x villosus,Dryobates pubescens,Dryobates villosus
Anas acuta x crecca,Anas acuta,Anas crecca
Archilochus alexandri x Selasphorus rufus,Archilochus alexandri,Selasphorus rufus
Oreothlypis crissalis x virginiae,Oreothlypis crissalis,Oreothlypis virginiae
Aythya americana x affinis,Aythya americana,Aythya affinis
Piranga rubra x ludoviciana,Piranga rubra,Piranga ludoviciana
Setophaga coronata x townsendi,Setophaga coronata,Setophaga townsendi
Bucephala islandica x Lophodytes cucullatus,Bucephala islandica,Lophodytes cucullatus
Anas platyrhynchos x crecca,Anas platyrhynchos,Anas crecca
Ammospiza nelsoni x caudacuta,Ammospiza nelsoni,Ammospiza caudacuta
Larus schistisagus x glaucescens,Larus schistisagus,Larus glaucescens
Sphyrapicus varius x ruber,Sphyrapicus varius,Sphyrapicus ruber
Calypte anna x Selasphorus sp.,Calypte anna,Selasphorus sp.
Selasphorus platycercus x calliope,Selasphorus platycercus,Selasphorus calliope
Plectrophenax nivalis x hyperboreus,Plectrophenax nivalis,Plectrophenax hyperboreus
Eudocimus albus x ruber,Eudocimus albus,Eudocimus ruber
Aix sponsa x Lophodytes cucullatus,Aix sponsa,Lophodytes cucullatus
Setophaga cerulea x americana,Setophaga cerulea,Setophaga americana
Geothlypis trichas x Basileuterus rufifrons,Geothlypis trichas,Basileuterus rufifrons
Dryobates pubescens x nuttallii,Dryobates pubescens,Dryobates nuttallii
Anas platyrhynchos x Aythya americana,Anas platyrhynchos,Aythya americana
Strix occidentalis x varia,Strix occidentalis,Strix varia
Setophaga americana x dominica,Setophaga americana,Setophaga dominica
Setophaga townsendi x virens,Setophaga townsendi,Setophaga virens
Spatula clypeata x Anas platyrhynchos,Spatula clypeata,Anas platyrhynchos
Aythya americana x marila/affinis,Aythya americana,Aythya marila/affinis
Callipepla squamata x gambelii,Callipepla squamata,Callipepla gambelii
Thalasseus sandvicensis x elegans,Thalasseus sandvicensis,Thalasseus elegans
Tympanuchus phasianellus x cupido,Tympanuchus phasianellus,Tympanuchus cupido
Vermivora cyanoptera x Setophaga discolor,Vermivora cyanoptera,Setophaga discolor
Cygnus buccinator x columbianus,Cygnus buccinator,Cygnus columbianus
Anser rossii x Branta canadensis,Anser rossii,Branta canadensis
Streptopelia decaocto x Zenaida macroura,Streptopelia decaocto,Zenaida macroura
Phalacrocorax brasilianus x auritus,Phalacrocorax brasilianus,Phalacrocorax auritus
Tyrannus melancholicus x dominicensis,Tyrannus melancholicus,Tyrannus dominicensis
Mareca strepera x americana,Mareca strepera,Mareca americana
Hirundo rustica x Petrochelidon pyrrhonota,Hirundo rustica,Petrochelidon pyrrhonota
Sayornis nigricans x phoebe,Sayornis nigricans,Sayornis phoebe
Mareca strepera x Anas crecca,Mareca strepera,Anas crecca
Chroicocephalus ridibundus x Larus delawarens,Chroicocephalus ridibundus,Larus delawarens
Egretta thula x caerulea,Egretta thula,Egretta caerulea
Setophaga petechia x discolor,Setophaga petechia,Setophaga discolor
Piranga ludoviciana x bidentata,Piranga ludoviciana,Piranga bidentata
Larus hyperboreus x marinus,Larus hyperboreus,Larus marinus
Aythya fuligula x marila/affinis,Aythya fuligula,Aythya marila/affinis
Spatula discors x Anas crecca,Spatula discors,Anas crecca
Calypte anna x Selasphorus sasin,Calypte anna,Selasphorus sasin
Anser caerulescens x Branta bernicla,Anser caerulescens,Branta bernicla
Calidris alpina x fuscicollis,Calidris alpina,Calidris fuscicollis
Leucophaeus atricilla x Larus delawarensis,Leucophaeus atricilla,Larus delawarensis
Passerina versicolor x ciris,Passerina versicolor,Passerina ciris
Spatula cyanoptera x Anas crecca,Spatula cyanoptera,Anas crecca
Bucephala clangula/islandica x Lophodytes cuc,Bucephala clangula/islandica,Lophodytes cuc
Cygnus buccinator x cygnus,Cygnus buccinator,Cygnus cygnus
Mimus gilvus x polyglottos,Mimus gilvus,Mimus polyglottos
Setophaga americana x pitiayumi,Setophaga americana,Setophaga pitiayumi
Ardea herodias x alba,Ardea herodias,Ardea alba
Aythya collaris x affinis,Aythya collaris,Aythya affinis
Branta leucopsis x hutchinsii,Branta leucopsis,Branta hutchinsii
Anser caerulescens x albifrons,Anser caerulescens,Anser albifrons
Sphyrapicus varius x nuchalis,Sphyrapicus varius,Sphyrapicus nuchalis
Calypte anna x Selasphorus calliope,Calypte anna,Selasphorus calliope
Aythya americana x collaris,Aythya americana,Aythya collaris
Calypte anna x Selasphorus rufus,Calypte anna,Selasphorus rufus
Junco hyemalis x Zonotrichia albicollis,Junco hyemalis,Zonotrichia albicollis
Aythya collaris x marila/affinis,Aythya collaris,Aythya marila/affinis
Anser caerulescens/rossii x Branta hutchinsii,Anser caerulescens/rossii,Branta hutchinsii
Spatula discors x clypeata,Spatula discors,Spatula clypeata
Branta leucopsis x canadensis,Branta leucopsis,Branta canadensis
Tyrannus verticalis x forficatus,Tyrannus verticalis,Tyrannus forficatus
Aythya valisineria x americana,Aythya valisineria,Aythya americana
Melanerpes aurifrons x carolinus,Melanerpes aurifrons,Melanerpes carolinus
Aix sponsa x Anas platyrhynchos,Aix sponsa,Anas platyrhynchos
Pheucticus ludovicianus x melanocephalus,Pheucticus ludovicianus,Pheucticus melanocephalus
Spatula cyanoptera x clypeata,Spatula cyanoptera,Spatula clypeata
Spatula clypeata x Mareca strepera,Spatula clypeata,Mareca strepera
Calypte anna x costae,Calypte anna,Calypte costae
Callipepla californica x gambelii,Callipepla californica,Callipepla gambelii
Cyanocitta stelleri x Aphelocoma woodhouseii,Cyanocitta stelleri,Aphelocoma woodhouseii
Anser albifrons x Branta hutchinsii,Anser albifrons,Branta hutchinsii
Cardinalis cardinalis x sinuatus,Cardinalis cardinalis,Cardinalis sinuatus
Mareca strepera x Anas acuta,Mareca strepera,Anas acuta
Calothorax lucifer x Calypte costae,Calothorax lucifer,Calypte costae
Icterus gularis x graduacauda,Icterus gularis,Icterus graduacauda
Larus argentatus x dominicanus,Larus argentatus,Larus dominicanus
Anser rossii x Branta hutchinsii,Anser rossii,Branta hutchinsii
Zonotrichia leucophrys x atricapilla,Zonotrichia leucophrys,Zonotrichia atricapilla
Anser albifrons x Branta canadensis,Anser albifrons,Branta canadensis
Dryobates nuttallii x scalaris,Dryobates nuttallii,Dryobates scalaris
Bucephala albeola x clangula,Bucephala albeola,Bucephala clangula
Dryobates pubescens x scalaris,Dryobates pubescens,Dryobates scalaris
Mareca americana x Anas platyrhynchos,Mareca americana,Anas platyrhynchos
Buteo lineatus x jamaicensis,Buteo lineatus,Buteo jamaicensis
Anser cygnoides (Domestic type) x Branta cana,Anser cygnoides,type) x
Anser anser x Branta canadensis,Anser anser,Branta canadensis
Egretta thula x tricolor,Egretta thula,Egretta tricolor
Larus argentatus x fuscus,Larus argentatus,Larus fuscus
Pipilo maculatus x erythrophthalmus,Pipilo maculatus,Pipilo erythrophthalmus
Larus argentatus x marinus,Larus argentatus,Larus marinus
Poecile atricapillus x gambeli,Poecile atricapillus,Poecile gambeli
Anser caerulescens x Branta hutchinsii,Anser caerulescens,Branta hutchinsii
Plegadis falcinellus x chihi,Plegadis falcinellus,Plegadis chihi
Bucephala clangula x Lophodytes cucullatus,Bucephala clangula,Lophodytes cucullatus
Anas platyrhynchos x acuta,Anas platyrhynchos,Anas acuta
Bucephala clangula x islandica,Bucephala clangula,Bucephala islandica
Icterus bullockii x galbula,Icterus bullockii,Icterus galbula
Mareca strepera x Anas platyrhynchos,Mareca strepera,Anas platyrhynchos
Vermivora chrysoptera x cyanoptera,Vermivora chrysoptera,Vermivora cyanoptera
Aechmophorus occidentalis x clarkii,Aechmophorus occidentalis,Aechmophorus clarkii
Setophaga townsendi x occidentalis,Setophaga townsendi,Setophaga occidentalis
Anser anser x cygnoides (Domestic type),Anser anser,cygnoides (Domestic
Passerina amoena x cyanea,Passerina amoena,Passerina cyanea
Larus glaucescens x hyperboreus,Larus glaucescens,Larus hyperboreus
Haematopus palliatus x bachmani,Haematopus palliatus,Haematopus bachmani
Anser caerulescens x Branta canadensis,Anser caerulescens,Branta canadensis
Spatula discors x cyanoptera,Spatula discors,Spatula cyanoptera
Egretta caerulea x tricolor,Egretta caerulea,Egretta tricolor
Vermivora chrysoptera x cyanoptera (F2 backcr,Vermivora chrysoptera,cyanoptera (F2
Anser caerulescens x rossii,Anser caerulescens,Anser rossii
Larus argentatus x hyperboreus,Larus argentatus,Larus hyperboreus
Anser anser (Domestic type) x Branta canadens,Anser anser,type) x
Sphyrapicus nuchalis x ruber,Sphyrapicus nuchalis,Sphyrapicus ruber
Cairina moschata x Anas platyrhynchos,Cairina moschata,Anas platyrhynchos
Vermivora chrysoptera x cyanoptera (F1 hybrid,Vermivora chrysoptera,cyanoptera (F1
Poecile carolinensis x atricapillus,Poecile carolinensis,Poecile atricapillus
Anser sp. (Domestic type) x Branta canadensis,Anser sp.,type) x
Mareca penelope x americana,Mareca penelope,Mareca americana
Anas platyrhynchos x wyvilliana,Anas platyrhynchos,Anas wyvilliana
Anas platyrhynchos x diazi,Anas platyrhynchos,Anas diazi
Larus argentatus x glaucescens,Larus argentatus,Larus glaucescens
Baeolophus bicolor x atricristatus,Baeolophus bicolor,Baeolophus atricristatus
Anas platyrhynchos x fulvigula,Anas platyrhynchos,Anas fulvigula
Anas platyrhynchos x rubripes,Anas platyrhynchos,Anas rubripes
Larus occidentalis x glaucescens,Larus occidentalis,Larus glaucescens
